FietsNr;Voorraad;Merk;Type;Kleur;Cat.;Frame;Wielmaat;Jaar;Status;Demo;Maat;Versnellingen;Prijs
13512;Voorraad;BFK;"Flower fun 12&quot;";Blauw;Kinderfietsen ;Mixed;0;2022;Nieuw;Nee;"0 12&quot;";0;249
13526;Voorraad;Merida;SCULTURA ENDURANCE 6000 DI2;Rood;Racefietsen ;Heren;0;2022;Nieuw;Nee;0 L;0;3499
13530;Voorraad;Merida;Reacto 6000 Di2;Rood;Racefietsen ;Heren;0;2023;Nieuw;Nee;0 M;0;3599
13586;Voorraad;Merida;E-speeder 400;Groen;Hybride fietsen (elo);Heren;0;2021;Nieuw;Nee; M;0;3399
13802;Voorraad;Merida;SPEEDER 200 ;Zwart;Racefietsen ;Heren;0;2022;Nieuw;Nee;54 ;0;1049
13807;Voorraad;Gazelle;Ultimate T10;Grijs;Stadsfietsen (elo);Dames;28;0;Gebruikt;Nee;0 ;10;0
14250;Voorraad;Merida;SPEEDER 200;Rood;Stadsfietsen ;Heren;0;2022;Nieuw;Nee;52 S-M;0;1049
14252;Voorraad;Merida;SPEEDER 300;Grijs;Stadsfietsen ;Heren;0;2021;Nieuw;Nee;56 L;0;1149
14256;Voorraad;Merida;Silex + Limited;Groen;Racefietsen ;Uni;0;2022;Nieuw;Nee;0 M;0;4099
14334;Voorraad;Merida;E-Spresso City 400 ;Silk Blue;Stadsfietsen (elo);Dames;28;2021;Nieuw;Nee;49 M;9;3899
14336;Voorraad;Merida;E-Spresso City 400 ;Silk Blue;Stadsfietsen (elo);Dames;28;2021;Nieuw;Nee;49 M;9;3899
14582;Voorraad;Merida;E-spresso 800 Di2 504 wh;Grijs;Stadsfietsen (elo);Dames;0;2020;Nieuw;Nee;0 ;0;0
14592;Voorraad;Gazelle;Vento C7;Grijs;Stadsfietsen ;Dames;0;2022;Nieuw;Nee;57 ;7;849
14611;Voorraad;Bike Fun;"You go girl 20&quot; ";Blauw;Kinderfietsen ;Meisjes;0;2022;Nieuw;Nee;0 ;0;439
14621;Voorraad;Merida;E-one sixty 700;Zilver;Mountainbikes (elo);Uni;0;2022;Nieuw;Nee; L;0;6799
14645;Voorraad;Victoria;Trekking 1.1;Zwart;Stadsfietsen ;Dames;0;2022;Nieuw;Nee;50 ;0;599
14828;Voorraad;BFK;"Flower fun. 18&quot;";Groen;Kinderfietsen ;Meisjes;0;2021;Nieuw;Nee;"0 18&quot;";0;269
14834;Voorraad;Merida;Matts J.24+;Geel;Mountainbikes ;Jongens;24;2022;Nieuw;Nee;0 11;8;699
14922;Voorraad;MERIDA;SCULTURA ENDURANCE RIVAL-EDITION;Glossy Gunmetal Grey;Racefietsen ;Uni;28;2023;Nieuw;Nee;53 M;24;4199
14960;Voorraad;Gazelle;Ultimate C380 HMB riem 500 Wh 75 Nm;Blauw;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;57 ;0;4299
15014;Voorraad;Rebel;Loopfiets;Oranje;Kinderfietsen ;Uni;0;2022;Nieuw;Nee;0 ;0;119,95
15038;Voorraad;Gazelle;Ultimate c5 HMB 75 NM 500 Wh;Blauw;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;53 ;0;3999
15046;Voorraad;Gazelle;Chamonix C5 HMS. 630 Wh;Wit;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;53 ;0;3799
15076;Voorraad;Gazelle;Ultimate c5 HMB 75 NM 500 Wh;Blauw;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;53 ;0;3999
15078;Voorraad;Gazelle;Ultimate c5 HMB 75 NM 500 Wh;Blauw;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;57 ;0;3999
15080;Voorraad;Gazelle;Grenoble C5 HMB. Riem 500 wh;Zwart;Stadsfietsen (elo);Heren;28;2023;Nieuw;Nee;57 ;5;3799
15142;Voorraad;Gazelle;Grenoble C5 HMB. Riem 500 wh test;Blauw;Stadsfietsen (elo);Dames;28;2023;Nieuw;Nee;53 ;5;3799
15218;Voorraad;VICTORIA;Rad E-Trekk. 6.3  2853. 300 Wh;Magma Red Mattzilver;Crosshybrides (elo);Uni;28;2022;Nieuw;Nee;53 53 cm;9;2599
15283;Voorraad;Gazelle;Ultimate C380 HMB speed 500Wh;Grijs;Stadsfietsen (elo);Heren;28;2022;Nieuw;Nee;53 ;0;4899
15293;Voorraad;BIKEFUN;Flower Fun 16;Roze;Kinderfietsen ;Meisje;16;2022;Nieuw;Nee;0 ;;259
15314;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Zwart;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 ;0;2399
15316;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Zwart;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 ;0;2399
15320;Voorraad;Gazelle;Grenoble C7+ HMB. 500 Wh;Grijs Blauw;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;53 ;0;3299
15335;Voorraad;Granville;E-urban 25 Wave. 400 Wh;Grijs;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 M;0;2499
15339;Voorraad;Granville;E-Integrated 20 Wave. 500 Wh Active +;Grijs;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 M;0;2899
15396;Voorraad;Klever;N Rouge Pinion 1200 Wh;Blauw;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 M;0;6599
15398;Voorraad;Klever;N Rouge Pinion 1200 Wh;Grijs;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 M;0;6599
15404;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Groen;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 ;0;2399
15406;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Groen;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 ;0;2399
15408;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Zwart;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 M;0;2399
15422;Voorraad;Klever;N Rouge Pinion 1200 Wh;Blauw;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 M;0;6599
15436;Voorraad;O2Feel;EQUO CARGO POWER 7.1 riem 720Wh;Zwart;Bakfietsen (elo);Uni;0;2021;Nieuw;Nee;0 ;0;5299
15438;Voorraad;Granville;E-urban 25 Wave. 400 Wh;Grijs;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 M;0;2499
15440;Voorraad;Granville;E-urban 25 Wave. 400 Wh;Grijs;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 L;0;2499
15442;Voorraad;Granville;E-urban 15 Wave. 500 Wh;Grijs;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 L;0;2699
15480;Voorraad;BIKEFUN;Flower Fun 24;Geel;Kinderfietsen ;Meisje;24;2023;Nieuw;Nee;0 ;;459
15484;Voorraad;Gazelle;Ultimate C8+ HMB Belt test;Blauw;Stadsfietsen (elo);Dames;28;2021;Nieuw;Nee;53 ;8;3699
15516;Voorraad;Granville;GRV E-Urban 30 Man Black M 40 Nm 400Wh;Black;Stadsfietsen (elo);Uni;0;2022;Nieuw;Nee;0 ;;2199
15520;Voorraad;Gazelle;Esprit T7;Zwart;Stadsfietsen ;Heren;28;2022;Nieuw;Nee;54 ;7;799
15526;Voorraad;Gazelle;Esprit T7;Jeans;Stadsfietsen ;Heren;28;2021;Nieuw;Nee;59 ;7;799
15530;Voorraad;Gazelle;Esprit C7 HMS 400 Wh;Groen;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;0 ;0;2399
15540;Voorraad;MERIDA;SILEX+;Transparant Green Grey;Racefietsen ;Uni;28;2023;Nieuw;Nee;50 M;12;4099
15556;Voorraad;Granville;GRV Traffic 21 Vrouw L;Zwart;Stadsfietsen ;Dames;28;2022;Nieuw;Nee;0 ;21;839
15560;Voorraad;Gazelle;Ultimate C380 HMB riem 500 Wh 75 Nm;Blauw;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;53 ;0;4299
15562;Voorraad;Gazelle;Ultimate C380 HMB riem 500 Wh 75 Nm;Blauw;Stadsfietsen (elo);Dames;0;2023;Nieuw;Nee;53 ;0;4299
15564;Voorraad;Gazelle;Ultimate C8+ HMB Belt. 500 Wh;Grijs;Stadsfietsen (elo);Dames;28;2023;Nieuw;Nee;46 ;8;3699
15598;Voorraad;Granville;GRV Traffic 21 Vrouw M;Zwart;Stadsfietsen ;Dames;28;2022;Nieuw;Nee;0 M;21;839
15600;Voorraad;Granville;GRV Traffic 21 Vrouw M;Zwart;Stadsfietsen ;Dames;28;2022;Nieuw;Nee;0 M;21;839
15602;Voorraad;Granville;GRV Traffic 21 Man M;Zwart;Stadsfietsen ;Heren;28;2022;Nieuw;Nee;0 M;21;839
15604;Voorraad;Granville;GRV Traffic 21 Man L;Zwart;Stadsfietsen ;Heren;28;2022;Nieuw;Nee;0 L;21;839
15606;Voorraad;Granville;E-urban 15  500 Wh;Grijs;Stadsfietsen (elo);Heren;0;2023;Nieuw;Nee;0 L;0;2699
;;;;;;;;;;;;Totaal;290002,96
